公开(公告)号,标题,申请日,公开(公告)日,当前申请(专利权)人,发明人,法律状态/事件
CN213624990U,一种用于川藏铁路扣件的轨下垫板,2020-06-24,2021-07-06,中原利达铁路轨道技术发展有限公司,刘永奎 | 田伟 | 马红伦 | 邵缇 | 罗伟先,授权
CN113917562A,深埋软弱夹层宏细观结构表征及三维空间构造方法及装置,2021-09-27,2022-01-11,中国科学院武汉岩土力学研究所,邹先坚 | 王超 | 陈双源 | 宋欢,实质审查
CN204360142U,高频自动测风装置,2014-12-27,2015-05-27,中铁二院工程集团有限责任公司,周帅 | 曾永平 | 陈克坚 | 刘孜学 | 杨捷 | 杨平 | 杨国静,授权
CN110210173A,一种冰碛土物理力学参数的快速估算方法,2019-06-20,2019-09-06,中国地质科学院探矿工艺研究所 | 中国科学院、水利部成都山地灾害与环境研究所,杨东旭 | 游勇 | 陈晓清 | 刘建康 | 王军朝 | 杨栋 | 赵万玉 | 孙昊,授权
CN110210173B,一种冰碛土物理力学参数的快速估算方法,2019-06-20,2021-09-10,中国地质科学院探矿工艺研究所 | 中国科学院、水利部成都山地灾害与环境研究所,杨东旭 | 游勇 | 陈晓清 | 刘建康 | 王军朝 | 杨栋 | 赵万玉 | 孙昊,授权
CN112195413A,冻融循环线耐疲劳钢轨及其生产方法,2020-10-19,2021-01-08,攀钢集团攀枝花钢铁研究院有限公司,袁俊 | 邹明 | 邓勇 | 李若曦,实质审查
CN113594588A,一种高原环境使用的电动挖掘机动力锂电池,2021-08-06,2021-11-02,安徽通盛能源科技有限公司,史俊杰 | 尹剑 | 赵巍巍 | 蔡金 | 许子瑜 | 顾先磊 | 王友鹏 | 汪沛然 | 王玉荣 | 吴勇,实质审查
CN213574455U,一种用于高寒地区的风光互补发电装置,2020-11-19,2021-06-29,西南交通大学,向洋 | 吴小平 | 唐亦浓 | 黄祖瑞 | 汪炯藤,授权
CN112422028A,一种用于高寒地区的风光互补发电装置,2020-11-19,2021-02-26,西南交通大学,刘立国 | 吴小平 | 向洋 | 唐亦浓 | 黄祖瑞 | 汪炯藤,授权
CN112422028B,一种用于高寒地区的风光互补发电装置,2020-11-19,2021-10-08,西南交通大学,刘立国 | 吴小平 | 向洋 | 唐亦浓 | 黄祖瑞 | 汪炯藤,授权
CN113673582A,基于系统聚类分析的铁路动态基准点多层级分群方法,2021-07-30,2021-11-19,西南交通大学 | 川藏铁路技术创新中心有限公司,龚晓颖 | 冯威 | 黄丁发 | 吕菲,实质审查
CN113159475A,基础设施全生命周期监测平台及方法,2020-12-04,2021-07-23,中国国家铁路集团有限公司 | 中国铁道科学研究院集团有限公司 | 中国铁道科学研究院集团有限公司基础设施检测研究所 | 北京铁科英迈技术有限公司 | 石家庄铁道大学 | 北京交通大学 | 西南交通大学 | 中铁大桥勘测设计院集团有限公司 | 中铁科学研究院有限公司 | 中铁第一勘察设计院集团有限公司,杜彦良 | 赵钢 | 刘秀波 | 赵维刚 | 张浩 | 刘志强 | 陈斌 | 刘华 | 梅大鹏 | 马建民 | 高柏松 | 蔡小培 | 林圣 | 徐登科 | 赵欣欣 | 肖鑫 | 陶凯 | 代春平 | 李红艳 | 郭剑峰,实质审查
