CN110210173A,一种冰碛土物理力学参数的快速估算方法,2019-06-20,2019-09-06,中国地质科学院探矿工艺研究所 | 中国科学院、水利部成都山地灾害与环境研究所,杨东旭 | 游勇 | 陈晓清 | 刘建康 | 王军朝 | 杨栋 | 赵万玉 | 孙昊,授权
CN110210173B,一种冰碛土物理力学参数的快速估算方法,2019-06-20,2021-09-10,中国地质科学院探矿工艺研究所 | 中国科学院、水利部成都山地灾害与环境研究所,杨东旭 | 游勇 | 陈晓清 | 刘建康 | 王军朝 | 杨栋 | 赵万玉 | 孙昊,授权
CN113673582A,基于系统聚类分析的铁路动态基准点多层级分群方法,2021-07-30,2021-11-19,西南交通大学 | 川藏铁路技术创新中心有限公司,龚晓颖 | 冯威 | 黄丁发 | 吕菲,实质审查
CN113159475A,基础设施全生命周期监测平台及方法,2020-12-04,2021-07-23,中国国家铁路集团有限公司 | 中国铁道科学研究院集团有限公司 | 中国铁道科学研究院集团有限公司基础设施检测研究所 | 北京铁科英迈技术有限公司 | 石家庄铁道大学 | 北京交通大学 | 西南交通大学 | 中铁大桥勘测设计院集团有限公司 | 中铁科学研究院有限公司 | 中铁第一勘察设计院集团有限公司,杜彦良 | 赵钢 | 刘秀波 | 赵维刚 | 张浩 | 刘志强 | 陈斌 | 刘华 | 梅大鹏 | 马建民 | 高柏松 | 蔡小培 | 林圣 | 徐登科 | 赵欣欣 | 肖鑫 | 陶凯 | 代春平 | 李红艳 | 郭剑峰,实质审查
CN114252387A,一种考虑高原强辐射影响的混凝土试验装置及试验方法,2021-07-12,2022-03-29,中国铁道科学研究院集团有限公司铁道建筑研究所 | 中国铁道科学研究院集团有限公司 | 北京铁锋建筑工程技术有限公司,葛昕 | 谭盐宾 | 杨鲁 | 李林香 | 谢永江 | 郑永杰 | 付志勇 | 王琳 | 齐婧 | 袁政成,实质审查
CN111236973A,一种用于板块活动带隧道的韧性结构,2020-01-13,2020-06-05,西南交通大学 | 陕西祐通材料有限公司,严健 | 何川 | 董唯杰 | 汪波 | 徐国文,授权 | 权利转移
CN111236973B,一种用于板块活动带隧道的韧性结构,2020-01-13,2020-11-20,西南交通大学 | 陕西祐通材料有限公司,严健 | 何川 | 董唯杰 | 汪波 | 徐国文,授权 | 权利转移
CN214584793U,一种用于混凝土耐久性测试的多因素耦合环境模拟装置,2021-03-18,2021-11-02,中建西部建设西南有限公司 | 中建西部建设股份有限公司,袁文韬 | 王军 | 张远,授权
CN112299778A,一种高原铁路混凝土的组成及制备方法,2020-09-29,2021-02-02,中国铁道科学研究院集团有限公司铁道建筑研究所 | 中国铁道科学研究院集团有限公司 | 中国国家铁路集团有限公司 | 北京铁锋建筑工程技术有限公司,李康 | 王希 | 胡建伟 | 谢永江 | 冯仲伟 | 李林香 | 谭盐宾 | 程冠之 | 刘竞 | 李书明 | 董全霄 | 刘子科 | 王月华 | 王振 | 杨鲁 | 葛昕 | 饶云兵 | 谢亮 | 胡凡 | 齐婧 | 刘婷婷 | 何庆,公开
CN113324510A,轨道线路竖曲线曲率检测方法、装置及轨道线路检测系统,2021-06-01,2021-08-31,中国铁道科学研究院集团有限公司 | 中国铁道科学研究院集团有限公司基础设施检测研究所 | 北京铁科英迈技术有限公司,魏世斌 | 王琰 | 余宁 | 王昊 | 李颖 | 杜馨瑜,授权
CN113324521A,轨道线路坡度检测方法、装置及轨道线路检测系统,2021-06-01,2021-08-31,中国铁道科学研究院集团有限公司 | 中国铁道科学研究院集团有限公司基础设施检测研究所 | 北京铁科英迈技术有限公司,魏世斌 | 王琰 | 余宁 | 王昊 | 李颖 | 杜馨瑜,授权
CN113324521B,轨道线路坡度检测方法、装置及轨道线路检测系统,2021-06-01,2022-03-11,中国铁道科学研究院集团有限公司 | 中国铁道科学研究院集团有限公司基础设施检测研究所 | 北京铁科英迈技术有限公司,魏世斌 | 王琰 | 余宁 | 王昊 | 李颖 | 杜馨瑜,授权
CN113324510B,轨道线路竖曲线曲率检测方法、装置及轨道线路检测系统,2021-06-01,2022-03-11,中国铁道科学研究院集团有限公司 | 中国铁道科学研究院集团有限公司基础设施检测研究所 | 北京铁科英迈技术有限公司,魏世斌 | 王琰 | 余宁 | 王昊 | 李颖 | 杜馨瑜,授权
CN215441859U,一种全强风化卵石土地基改良结构,2020-12-22,2022-01-07,中铁二院工程集团有限责任公司 | 西南交通大学,王栋 | 徐华 | 蒋良文 | 张广泽 | 冯涛 | 林之恒 | 刘春兰 | 周廷宇 | 张小波 | 王歆宇,授权
CN110280461A,一种长效波纹板隧道防岩爆装置耐腐蚀复合膜及实施方法,2019-06-11,2019-09-27,西安华捷奥海新材料有限公司 | 中铁第一勘察设计院集团有限公司,高建中 | 岳迎九 | 王飞 | 刘国庆,实质审查
CN114150572A,一种铁路路桥过渡段台背装配式缓冲结构及其施工方法,2021-12-30,2022-03-08,中国铁道科学研究院集团有限公司铁道建筑研究所 | 中国铁道科学研究院集团有限公司,董亮 | 苏永华 | 班新林 | 胡所亭 | 许见超 | 向琪芪 | 葛凯 | 吴贻珂 | 陈浩瑞 | 李克冰 | 陈胜利 | 孙明德 | 杨心怡 | 袁磊 | 尹京 | 王乐然 | 刘吉元,实质审查
CN112727473A,一种高地应力大变形隧道预锚固快速掘进施工方法,2021-02-04,2021-04-30,中铁二院工程集团有限责任公司 | 中铁二院贵阳勘察设计研究院有限责任公司,魏永幸 | 方钱宝 | 陶伟明 | 秦小林 | 牛国栋 | 霍建勋 | 焦康杰 | 陈思宇,实质审查
CN114085055A,一种适用于高地温隧道高温低湿环境下二次衬砌混凝土及其制备方法,2021-10-25,2022-02-25,中南大学 | 长沙市建筑节能与绿色建筑产业技术创新战略联盟,申景涛 | 马昆林 | 韩晓昆 | 徐占军 | 张威振 | 龙广成 | 曾晓辉 | 胡明文,实质审查
CN109441481A,一种高海拔寒冷地区抗冻融灾害的隧道衬砌结构,2018-11-21,2019-03-08,中铁十一局集团第五工程有限公司 | 中铁十一局集团有限公司,郑典明 | 陈光 | 牙韩东 | 邓荣贵 | 杨敬 | 贺培霖 | 王杨波,授权
CN109441481B,一种高海拔寒冷地区抗冻融灾害的隧道衬砌结构,2018-11-21,2020-02-11,中铁十一局集团第五工程有限公司 | 中铁十一局集团有限公司,郑典明 | 陈光 | 牙韩东 | 邓荣贵 | 杨敬 | 贺培霖 | 王杨波,授权
